time,latitude,longitude,altitude
000000-16:46:22,51.464900,-2.585860,322
000000-16:46:52,51.464010,-2.587160,371
000000-16:47:52,51.462360,-2.589800,419
000000-16:48:52,51.461310,-2.593160,467
000000-16:49:21,51.460840,-2.594560,498
000000-16:49:52,51.460370,-2.595980,545
000000-16:50:52,51.459770,-2.598510,646
000000-16:51:21,51.459380,-2.599640,714
000000-16:51:52,51.459310,-2.601290,811
000000-16:52:21,51.459450,-2.602920,908
000000-16:52:52,51.459660,-2.604350,1038
000000-16:53:52,51.460360,-2.607240,1348
000000-16:54:21,51.460820,-2.608800,1472
000000-16:54:52,51.461420,-2.610520,1558
000000-16:55:21,51.462020,-2.612030,1643
000000-16:56:21,51.463650,-2.616010,1705
000000-16:56:52,51.464320,-2.617970,1750
000000-16:57:21,51.465020,-2.619560,1788
000000-16:57:52,51.465860,-2.621110,1841
000000-16:58:21,51.466340,-2.622560,1883
000000-16:58:52,51.466390,-2.622130,1949
000000-16:59:52,51.466270,-2.619030,2045
000000-17:00:21,51.465910,-2.617400,2103
000000-17:00:52,51.465460,-2.615450,2167
000000-17:01:21,51.465180,-2.613570,2232
000000-17:01:52,51.465030,-2.611530,2293
000000-17:02:21,51.465000,-2.609570,2344
000000-17:02:52,51.465170,-2.607330,2379
000000-17:03:21,51.465250,-2.605390,2401
000000-17:03:52,51.465420,-2.603280,2425
000000-17:04:21,51.465740,-2.601360,2450
000000-17:04:52,51.466170,-2.599320,2473
000000-17:05:21,51.466550,-2.597310,2508
000000-17:05:52,51.467130,-2.594960,2563
000000-17:06:21,51.467950,-2.592890,2617
000000-17:06:52,51.468750,-2.590920,2677
000000-17:07:21,51.469440,-2.589030,2739
000000-17:07:52,51.469890,-2.586970,2780
000000-17:08:21,51.470160,-2.585060,2816
000000-17:08:52,51.470300,-2.582990,2855
000000-17:09:21,51.470270,-2.580930,2899
000000-17:09:52,51.470150,-2.578660,2933
000000-17:10:21,51.470080,-2.576470,2972
000000-17:10:52,51.470070,-2.574270,3020
000000-17:11:21,51.470080,-2.572420,3065
000000-17:11:52,51.470280,-2.570360,3120
000000-17:12:21,51.470440,-2.568340,3169
000000-17:12:52,51.470570,-2.566240,3223
000000-17:13:21,51.470770,-2.564370,3278
000000-17:13:52,51.470780,-2.562560,3335
000000-17:14:21,51.470530,-2.560970,3392
000000-17:14:52,51.470130,-2.559350,3445
000000-17:15:21,51.469670,-2.557770,3495
000000-17:15:52,51.469050,-2.555930,3539
000000-17:16:21,51.468510,-2.554040,3591
000000-17:16:52,51.467960,-2.551970,3655
000000-17:17:21,51.467320,-2.550000,3701
000000-17:17:51,51.466670,-2.548040,3755
000000-17:18:22,51.465900,-2.545940,3798
000000-17:18:52,51.465160,-2.544070,3844
000000-17:19:21,51.464340,-2.542140,3883
000000-17:19:52,51.463470,-2.540080,3922
000000-17:20:21,51.462790,-2.538090,3954
000000-17:20:52,51.462150,-2.535580,3988
000000-17:21:21,51.461560,-2.532920,4018
000000-17:21:52,51.460910,-2.530090,4043
000000-17:22:21,51.460410,-2.527530,4076
000000-17:22:52,51.459810,-2.524940,4108
000000-17:23:21,51.459320,-2.522460,4137
000000-17:23:52,51.458980,-2.519430,4177
000000-17:24:21,51.458600,-2.516220,4224
000000-17:24:52,51.458380,-2.512310,4265
000000-17:25:21,51.458180,-2.508410,4298
000000-17:25:52,51.458070,-2.503740,4354
000000-17:26:21,51.457910,-2.499130,4400
000000-17:26:52,51.457820,-2.494000,4460
000000-17:27:21,51.457670,-2.489540,4501
000000-17:27:52,51.457700,-2.485080,4578
000000-17:28:21,51.457600,-2.480770,4634
000000-17:28:52,51.457320,-2.476240,4699
000000-17:29:21,51.456860,-2.472320,4753
000000-17:29:52,51.456110,-2.468170,4807
000000-17:30:21,51.455220,-2.464460,4847
000000-17:30:52,51.454280,-2.460430,4889
000000-17:31:21,51.453430,-2.456750,4927
000000-17:31:52,51.452480,-2.452920,4959
000000-17:32:21,51.451570,-2.449320,4985
000000-17:32:52,51.450670,-2.445170,5027
000000-17:33:21,51.449730,-2.441080,5049
000000-17:33:52,51.448730,-2.436440,5081
000000-17:34:21,51.447670,-2.431660,5104
000000-17:34:52,51.446380,-2.426360,5144
000000-17:35:21,51.444720,-2.421470,5186
000000-17:35:52,51.443260,-2.415980,5237
000000-17:36:21,51.442140,-2.410620,5285
000000-17:36:52,51.441110,-2.404760,5343
000000-17:37:21,51.440250,-2.399070,5403
000000-17:37:52,51.439230,-2.392860,5459
000000-17:38:21,51.438230,-2.387090,5516
000000-17:38:52,51.437150,-2.380970,5563
000000-17:39:21,51.436220,-2.375130,5607
000000-17:39:52,51.435200,-2.368820,5644
000000-17:40:21,51.434260,-2.362840,5681
000000-17:40:52,51.433310,-2.356050,5727
000000-17:41:21,51.432310,-2.349570,5759
000000-17:41:52,51.431200,-2.342530,5794
000000-17:42:21,51.430140,-2.335680,5828
000000-17:42:52,51.429040,-2.328250,5873
000000-17:43:21,51.427880,-2.321210,5901
000000-17:43:52,51.426570,-2.313690,5943
000000-17:44:21,51.425170,-2.306820,5969
000000-17:44:52,51.423660,-2.299450,6001
000000-17:45:21,51.422250,-2.292470,6040
000000-17:45:52,51.420730,-2.284990,6082
000000-17:46:21,51.419310,-2.277800,6117
000000-17:46:52,51.417790,-2.269940,6159
000000-17:47:21,51.416340,-2.262550,6190
000000-17:47:52,51.414950,-2.254540,6234
000000-17:48:21,51.413740,-2.246910,6272
000000-17:48:52,51.412490,-2.238660,6298
000000-17:49:21,51.411380,-2.230830,6331
000000-17:49:52,51.410170,-2.222370,6359
000000-17:50:21,51.409070,-2.214450,6383
000000-17:50:51,51.407880,-2.206290,6408
000000-17:51:22,51.406510,-2.197650,6440
000000-17:51:52,51.405170,-2.189320,6476
000000-17:52:21,51.403690,-2.181150,6514
000000-17:52:51,51.402030,-2.172610,6557
000000-17:53:22,51.400340,-2.163600,6598
000000-17:53:52,51.398720,-2.154790,6635
000000-17:54:21,51.397170,-2.146060,6679
000000-17:54:51,51.395590,-2.136840,6719
000000-17:55:22,51.393920,-2.127230,6751
000000-17:55:52,51.392360,-2.117840,6788
000000-17:56:21,51.390850,-2.108810,6814
000000-17:56:52,51.389300,-2.099010,6847
000000-17:57:21,51.387860,-2.089880,6873
000000-17:57:52,51.386320,-2.080010,6896
000000-17:58:21,51.384940,-2.070720,6921
000000-17:58:51,51.383510,-2.061120,6951
000000-17:59:22,51.382110,-2.051180,6980
000000-17:59:52,51.380670,-2.041580,7011
000000-18:00:21,51.379190,-2.032310,7040
000000-18:00:51,51.377530,-2.022760,7077
000000-18:01:22,51.375750,-2.012770,7110
000000-18:01:52,51.374070,-2.003100,7152
000000-18:02:21,51.372410,-1.993700,7187
000000-18:02:51,51.370730,-1.983920,7221
000000-18:03:22,51.369010,-1.973840,7259
000000-18:03:52,51.367350,-1.964080,7230
000000-18:04:21,51.365660,-1.954680,7177
000000-18:04:52,51.363790,-1.944760,7119
000000-18:05:21,51.362150,-1.935570,7064
000000-18:05:52,51.360590,-1.925620,7013
000000-18:06:21,51.359130,-1.916380,6960
000000-18:06:51,51.357540,-1.906780,6897
000000-18:07:22,51.355940,-1.896950,6849
000000-18:07:52,51.354260,-1.887560,6794
000000-18:08:21,51.352530,-1.878600,6727
000000-18:08:52,51.350630,-1.869380,6665
000000-18:09:21,51.348840,-1.861030,6611
000000-18:09:51,51.347050,-1.852390,6553
000000-18:10:22,51.345510,-1.843660,6500
000000-18:10:52,51.344130,-1.835260,6445
000000-18:11:21,51.342880,-1.827280,6389
000000-18:11:51,51.341530,-1.819210,6336
000000-18:12:22,51.339990,-1.810930,6274
000000-18:12:52,51.338580,-1.803150,6219
000000-18:13:21,51.337300,-1.795720,6154
000000-18:13:52,51.336110,-1.787670,6093
000000-18:14:21,51.335090,-1.780280,6024
000000-18:14:52,51.334130,-1.772480,5960
000000-18:15:21,51.333180,-1.765460,5880
000000-18:15:52,51.332130,-1.758650,5798
000000-18:16:21,51.331070,-1.752300,5735
000000-18:16:52,51.330040,-1.745730,5661
