time,latitude,longitude,altitude
000000-08:17:52,51.462600,-2.579510,294
000000-08:18:22,51.461250,-2.579570,306
000000-08:19:22,51.458280,-2.579980,349
000000-08:30:22,51.437220,-2.580270,219
000000-08:30:51,51.436150,-2.579350,261
000000-08:31:22,51.435050,-2.578790,293
000000-08:31:51,51.433930,-2.578680,353
000000-08:32:22,51.432880,-2.578540,413
000000-08:33:22,51.430940,-2.578640,543
000000-08:34:51,51.427830,-2.579480,648
000000-08:35:22,51.426950,-2.579770,647
000000-08:36:51,51.424490,-2.581640,681
000000-08:37:22,51.423620,-2.582200,683
000000-08:37:51,51.422670,-2.582430,687
000000-08:38:22,51.421700,-2.582440,692
000000-08:38:51,51.420730,-2.582380,702
000000-08:39:22,51.419810,-2.582360,708
000000-08:39:51,51.418900,-2.582270,712
000000-08:40:22,51.418070,-2.582080,701
000000-08:40:51,51.417330,-2.581850,716
000000-08:41:22,51.416360,-2.581620,729
000000-08:41:51,51.415590,-2.581530,744
000000-08:42:21,51.414750,-2.581430,751
000000-08:42:52,51.413990,-2.581520,774
000000-08:43:22,51.413290,-2.581510,784
000000-08:43:51,51.412530,-2.581570,808
000000-08:44:21,51.411710,-2.581390,822
000000-08:44:52,51.410880,-2.580920,848
000000-08:45:22,51.410190,-2.580480,865
000000-08:45:51,51.409480,-2.580060,878
000000-08:46:22,51.408830,-2.579820,892
000000-08:46:51,51.408060,-2.579510,897
000000-08:47:22,51.407210,-2.579230,905
000000-08:47:51,51.406660,-2.578920,921
000000-08:48:22,51.406020,-2.578470,958
000000-08:48:51,51.405380,-2.577860,984
000000-08:49:22,51.404810,-2.577140,1005
000000-08:49:51,51.404190,-2.576660,1033
000000-08:50:21,51.403670,-2.575850,1034
000000-08:50:52,51.403020,-2.574730,1021
000000-08:51:22,51.402120,-2.574130,1023
000000-08:51:51,51.401430,-2.573780,1042
000000-08:52:21,51.400880,-2.573450,1068
000000-08:52:52,51.400230,-2.572820,1097
000000-08:53:22,51.399430,-2.572280,1126
