time,latitude,longitude,altitude
160814-04:23:34,51.466900,-2.582600,288
160814-04:27:14,51.464600,-2.586000,248
160814-04:27:45,51.464100,-2.586600,283
160814-04:28:13,51.463700,-2.587000,332
160814-04:28:44,51.462900,-2.587500,360
160814-04:29:17,51.462100,-2.587600,336
160814-04:29:46,51.461000,-2.588200,367
160814-04:30:17,51.459800,-2.588100,345
160814-04:31:53,51.455800,-2.590000,449
160814-04:32:23,51.454500,-2.590700,480
160814-04:32:55,51.453200,-2.591400,505
160814-04:34:00,51.450700,-2.592600,538
160814-04:34:33,51.449300,-2.593700,592
160814-04:35:02,51.448100,-2.594500,649
160814-04:35:33,51.447100,-2.594900,603
160814-04:36:06,51.445700,-2.595800,657
160814-04:36:35,51.444700,-2.596300,661
160814-04:37:06,51.443300,-2.597100,704
160814-04:37:37,51.442000,-2.598200,757
160814-04:39:41,51.437500,-2.600900,753
160814-04:40:15,51.436300,-2.602100,773
160814-04:40:43,51.435200,-2.603300,828
160814-04:41:16,51.434300,-2.604300,788
160814-04:41:45,51.433300,-2.605300,793
160814-04:42:18,51.432200,-2.606300,823
160814-04:42:47,51.431300,-2.606900,820
160814-04:43:18,51.430300,-2.607800,842
160814-04:43:51,51.429000,-2.608700,900
160814-04:44:20,51.427800,-2.609400,948
160814-04:44:53,51.426800,-2.609800,943
160814-04:45:53,51.424700,-2.611000,990
160814-04:46:57,51.422100,-2.612300,995
160814-04:47:28,51.420800,-2.613000,1019
160814-04:47:59,51.419600,-2.613600,1035
160814-04:48:28,51.418400,-2.614400,1073
160814-04:48:59,51.417200,-2.614700,1090
160814-04:49:30,51.416000,-2.614800,1080
160814-04:50:03,51.414700,-2.615300,1152
160814-04:50:34,51.413600,-2.615700,1217
160814-04:51:05,51.412500,-2.616000,1258
160814-04:51:34,51.411400,-2.616400,1315
160814-04:52:05,51.410200,-2.616600,1329
160814-04:52:36,51.408900,-2.616900,1374
160814-04:53:07,51.407600,-2.617100,1377
160814-04:53:40,51.405900,-2.617500,1425
160814-04:54:09,51.404500,-2.617800,1462
160814-04:54:40,51.403200,-2.617600,1495
160814-04:55:13,51.402100,-2.616100,1499
160814-04:55:42,51.400900,-2.614400,1528
160814-04:56:13,51.399900,-2.611800,1508
160814-04:56:44,51.398800,-2.609500,1537
160814-04:57:15,51.397600,-2.607300,1530
160814-04:57:46,51.396300,-2.605300,1633
160814-04:58:17,51.395300,-2.602400,1594
160814-04:58:48,51.394100,-2.599800,1604
160814-04:59:19,51.393400,-2.596800,1580
160814-04:59:59,51.391800,-2.593500,1611
160814-05:00:27,51.390900,-2.591200,1621
160814-05:01:00,51.389900,-2.588400,1629
160814-05:01:30,51.388900,-2.585800,1640
160814-05:02:00,51.388000,-2.583500,1661
160814-05:02:31,51.387200,-2.581000,1681
160814-05:03:00,51.386400,-2.578400,1704
160814-05:03:31,51.385700,-2.575600,1739
160814-05:04:02,51.384900,-2.572700,1736
160814-05:04:33,51.384100,-2.570300,1784
160814-05:05:04,51.383400,-2.567500,1783
160814-05:05:37,51.382800,-2.564500,1764
160814-05:06:07,51.382100,-2.561900,1781
160814-05:06:37,51.381800,-2.558600,1746
160814-05:07:10,51.381000,-2.555700,1799
160814-05:07:40,51.380300,-2.552800,1811
160814-05:08:10,51.379900,-2.549700,1831
160814-05:08:41,51.379200,-2.546800,1908
160814-05:09:12,51.378800,-2.543400,1934
160814-05:09:45,51.378400,-2.539600,1918
160814-05:10:14,51.378000,-2.536600,1956
160814-05:10:47,51.377700,-2.533000,1952
160814-05:11:18,51.377300,-2.529600,1959
160814-05:11:47,51.376900,-2.526300,1962
160814-05:12:21,51.376700,-2.522900,1993
160814-05:14:21,51.375600,-2.510700,2112
160814-05:14:47,51.375000,-2.507700,2114
160814-05:15:20,51.374400,-2.504400,2137
160814-05:15:49,51.373900,-2.501000,2125
160814-05:16:20,51.373300,-2.498000,2168
160814-05:16:51,51.372500,-2.495000,2206
160814-05:17:22,51.372000,-2.491600,2190
160814-05:17:53,51.371600,-2.488600,2221
160814-05:18:24,51.371400,-2.485400,2215
160814-05:18:55,51.370900,-2.482400,2243
160814-05:19:26,51.370300,-2.479400,2265
160814-05:19:57,51.369900,-2.476500,2299
160814-05:20:30,51.369300,-2.473500,2317
160814-05:20:59,51.368400,-2.470600,2373
160814-05:21:30,51.368300,-2.467600,2334
