41268,,,ALT,,LAT DIST,LONG DIST,DIST
46947,10.304641276,3.8,57,,-121.0968,96.0590036939,154.5696191395
46962,13.3068424285,4,60,,-161.796,116.8899775545,199.6026364272
46977,14.027753447,4.3333333333,65,,-180.1440000003,108.734351918,210.4163017048
46992,10.450722389,3.6666666667,55,,-122.8759999995,97.3419142801,156.7608358347
47007,10.4794998984,3.4666666667,52,,-128.3248,90.7867131374,157.1924984766
47022,10.9560512379,3.4,51,,-134.7744000003,94.041210745,164.3407685689
47037,9.6982040945,3.3333333333,50,,-119.3175999998,83.2209224211,145.473061418
47052,9.8556024307,4.1333333333,62,,-136.2199999998,57.4370432397,147.83403646
47067,6.0449881385,3.5333333333,53,,-82.1768000003,38.326190791,90.6748220778
47082,6.451416677,4.0666666667,61,,-88.6263999998,38.8591826942,96.7712501552
47097,6.5682689898,4.6666666667,70,,-81.5096000004,55.3459171958,98.5240348467
47112,6.5829940051,4.5333333333,68,,-63.4952000001,75.6235204355,98.744910077
47127,6.8442018421,3.8,57,,-36.9184,95.7952451002,102.663027631
47142,8.3239809487,4.2,63,,-42.7007999996,117.3311123155,124.8597142308
47157,8.2392169911,4.2,63,,-33.5823999998,118.9381316118,123.588254867
47172,9.3646375701,4.6,69,,-49.7064000001,131.3810187325,140.4695635509
47187,10.296212702,4.8,72,,-63.4952000001,140.7872816622,154.4431905293
47202,11.1051375639,4.9333333333,74,,-72.8360000002,149.8093293979,166.5770634591
47217,12.2142889169,5.1333333333,77,,-98.0783999997,154.7517998155,183.2143337532
47232,13.1245891883,5.2666666667,79,,-129.4368000003,148.3356130934,196.8688378239
47247,14.3982143952,5.1333333333,77,,-146.2279999998,158.9396175096,215.9732159274
47262,13.4275193682,4.9333333333,74,,-130.4376000002,153.4703381518,201.4127905229
47277,12.5128213785,4.6,69,,-119.6511999997,144.6098114936,187.6923206782
47292,11.9023069278,4.1333333333,62,,-119.9848000005,132.2053424211,178.5346039171
47307,11.2869402812,3.9333333333,59,,-117.8719999995,121.532182244,169.3041042174
47322,11.5433603094,3.7333333333,56,,-122.9872,121.8819562671,173.150404641
47337,11.1685537139,3.4,51,,-121.7639999999,115.0619898909,167.5283057088
47352,11.1339391188,3.7333333333,56,,-114.0912000003,121.9640649946,167.0090867813
47367,11.4663244967,3,45,,-112.2007999996,130.3580258709,171.994867451
47382,12.2199101739,4.2,63,,-121.6528000002,137.1094172549,183.2986526079
47397,14.7093272027,4.1333333333,62,,-149.8976,161.9032999488,220.6399080404
47412,15.94922162,3,45,,-153.7896000005,183.2586553092,239.2383243003
47427,16.4794331399,3.3333333333,50,,-177.6975999994,171.8348020401,247.1914970983
47442,14.8487506153,3.3333333333,50,,-172.5824000004,140.7996059938,222.7312592294
47457,14.136043141,3.7333333333,56,,-171.5815999998,124.5832676175,212.0406471145
47472,14.1156548515,4,60,,-171.804,123.7538716899,211.7348227719
47487,13.7285903429,3.9333333333,59,,-172.4711999999,112.5183476201,205.9288551432
47502,12.7807748837,3.8666666667,58,,-161.1288000001,103.8790464993,191.711623255
47532,10.8575010499,3.9666666667,119,,-275.3312000002,174.0388647712,325.725031498
47547,8.897567273,3.8666666667,58,,-115.5367999999,66.8113471326,133.4635090947
47562,7.7841008808,3.6666666667,55,,-109.9767999997,39.2218616265,116.7615132123
47577,7.0525598389,4.0666666667,61,,-91.5176000004,53.0633013797,105.7883975829
47592,5.1748153264,4.2,63,,-65.9416000002,40.950164387,77.6222298953
47607,4.7610650084,4,60,,-42.3671999997,57.4914068995,71.4159751253
47622,5.7271657038,4.8,72,,-22.7960000001,82.8277638152,85.9074855565
47637,5.3250364658,4.3333333333,65,,42.7008000004,67.5036642399,79.8755469871
47652,5.910295674,3.6,54,,14.6784000001,87.4308494648,88.6544351102
47682,7.9990845936,3.3666666667,101,,25.1311999998,238.6529733509,239.9725378093
47697,10.2230643252,2.8,42,,-1.1120000004,153.3419329492,153.3459648787
47712,11.2201395442,3.1333333333,47,,-31.9144,165.2484966215,168.302093163
47727,12.2655700953,3.4,51,,-62.7167999997,172.96401416,183.9835514293
47742,11.3591401089,3.6,54,,-79.3968000002,150.7577943349,170.3871016333
47757,11.0125639114,3.6,54,,-85.4016000001,141.399411581,165.1884586707
47787,9.5082765793,3.9333333333,118,,-130.6599999996,253.5637110411,285.2482973776
47802,9.1131668928,4,60,,-75.9496000002,113.656789034,136.6975033924
47817,9.416758042,4.0666666667,61,,-105.9736000003,93.3892167642,141.25137063
47832,9.632820615,3.9333333333,59,,-114.5359999992,88.0882065284,144.4923092252
47847,10.0085883786,4.2,63,,-123.4320000005,85.4587951926,150.1288256795
47862,9.9955601012,3.8666666667,58,,-126.1008,81.1086501569,149.9334015186
47907,9.5481918173,4.2,189,,-344.9423999998,256.1832816901,429.6686317793
47922,8.0983207861,4,60,,-92.9632,78.1919007659,121.4748117908
47937,7.3415799199,3.6666666667,55,,-74.0592000003,81.5013124588,110.123698799
47952,7.5453720233,3.8,57,,-76.2832000002,83.6105087054,113.1805803494
47967,7.4026559215,3.6666666667,55,,-67.1647999995,88.4236136259,111.0398388221
47997,5.977278117,3.7666666667,113,,-64.0512000003,167.4888417126,179.3183435115
48012,7.8139190406,3.2666666667,49,,-30.1351999998,113.2685708609,117.2087856088
48042,8.0643029681,3.5333333333,106,,-2.8911999998,241.911812626,241.9290890436
48072,9.8177469325,3.8333333333,115,,-15.2344000003,294.1381519017,294.5324079749
48087,10.9483460846,3.7333333333,56,,-53.3760000003,155.3090984827,164.2251912697
48102,11.2346013006,4.1333333333,62,,-64.4959999999,155.6885542371,168.5190195095
48117,9.4585960877,3.9333333333,59,,-55.9335999994,130.3881374194,141.8789413148
48132,9.9832722659,4.6666666667,70,,-14.2336000004,149.0710997692,149.7490839884
48147,9.7213182669,4.5333333333,68,,-3.5583999997,145.7763502081,145.8197740039
48177,10.9237324075,4.4666666667,134,,23.9079999997,326.8387129403,327.7119722263
48192,12.3333784301,4.6,69,,-1.1119999996,184.9973344234,185.0006764522
48207,12.2253480951,4.1333333333,62,,-16.7912000003,182.6098606671,183.3802214262
48222,13.0815806661,4.2666666667,64,,0.4447999997,196.2232058547,196.2237099918
48237,14.6588495128,3.9333333333,59,,-7.1167999994,219.7675401232,219.8827426926
48252,14.3181368847,3.6666666667,55,,-20.3496,213.8058199533,214.7720532706
48267,13.7639547876,3.6,54,,-50.1512000006,200.2755818922,206.4593218137
48282,12.2450386149,3.7333333333,56,,-58.3799999996,174.1507795082,183.675579224
48297,12.157565813,3.8666666667,58,,-81.9544000001,162.9107663189,182.3634871952
48312,12.1377611281,4.1333333333,62,,-102.0815999998,150.7565159863,182.0664169221
48327,9.6663814914,4.0666666667,61,,-69.4999999999,127.2537209905,144.9957223711
48342,9.0885587587,5,75,,-77.7288000005,111.9984875801,136.3283813802
48357,8.7058304998,4.3333333333,65,,13.5664000005,129.8808563508,130.5874574964
48372,9.6591397368,3.6666666667,55,,19.2375999996,143.6042664716,144.8870960527
48387,9.9806676481,4.1333333333,62,,13.3440000003,149.1141380684,149.7100147215
48402,10.2907435846,4.2666666667,64,,23.1296000001,152.6184372772,154.3611537697
48417,11.1635636562,4.4666666667,67,,12.5655999999,166.981331997,167.453454843
48432,10.3080213556,4.5333333333,68,,-26.3543999998,152.3577666569,154.6203203335
48462,9.1194736562,4.7333333333,142,,-78.9520000006,261.9444625973,273.584209686
48477,8.6885092759,4.8,72,,-40.2543999995,123.9551402884,130.3276391378
48492,9.2692295458,4.5333333333,68,,-48.3720000003,130.3527456554,139.0384431873
48507,8.897115032,4.8,72,,-36.4735999996,128.3759092628,133.4567254805
48522,8.4405013276,4.7333333333,71,,-41.8112000003,119.5043415676,126.6075199147
48537,9.5295788385,4.8,72,,-46.3703999999,135.2134697158,142.9436825772
48552,9.4850298248,4.6666666667,70,,-45.9256000002,134.6593561163,142.2754473724
48567,9.6049993496,4.4666666667,67,,-66.9424000001,127.5786733583,144.0749902434
48582,9.4556755328,4.2666666667,64,,-70.5007999998,123.0725076938,141.8351329913
48597,8.0368953627,4.0666666667,61,,-59.4919999999,104.8514736512,120.5534304399
48612,7.4618791808,3.8,57,,-33.9160000005,106.6659465273,111.9281877125
48627,6.7567694144,4.1333333333,62,,-9.3408000001,100.9201880802,101.3515412156
48642,8.0289903328,3.7333333333,56,,0.6672000007,120.4330068585,120.4348549914
48657,9.4306207872,3.7333333333,56,,-15.3456,140.6244980717,141.4593118083
48672,9.2417330322,3.7333333333,56,,-28.6896000003,135.6247524445,138.6259954836
48687,8.6005318035,3.8666666667,58,,-25.9096000002,126.3793921928,129.0079770525
48702,8.6214293059,4.4666666667,67,,-0.1111999997,129.3213917789,129.3214395879
48717,10.3802711678,4.3333333333,65,,61.8271999996,142.9026031309,155.7040675172
48732,11.4774670864,4.1333333333,62,,59.6032000004,161.5153706674,172.1620062967
48747,10.6613028242,4.8666666667,73,,23.5743999997,158.1723986491,159.9195423635
48762,10.2251178569,4.8666666667,73,,-11.8984,152.9145545547,153.3767678536
48777,10.1255279331,5.2666666667,79,,-28.0223999996,149.2754707959,151.882918997
48792,10.7080454411,5.0666666667,76,,-8.4512,160.3981938231,160.6206816171
48837,8.1452619175,4.7555555556,214,,17.4583999994,366.1207723825,366.5367862855
48852,8.4716469811,4.5333333333,68,,18.4592,125.7268408662,127.0747047167
48867,9.3397327357,4.3333333333,65,,3.6696000002,140.0479230129,140.0959910361
48897,9.3063873185,4.3333333333,130,,63.0504000004,271.9790570793,279.1916195554
48912,9.7953460679,4,60,,32.9151999999,143.1959169871,146.9301910188
48927,9.4941602081,4.2,63,,23.9079999997,140.3912393955,142.412403122
48942,9.1956094776,4.1333333333,62,,7.3392000004,137.7387516926,137.9341421638
48957,9.8323394685,4.3333333333,65,,2.5575999999,147.4629141607,147.485092028
48972,11.3698580387,4.5333333333,68,,-20.4608000005,169.3160707749,170.5478705798
48987,12.1229102837,4.6666666667,70,,-19.4599999999,180.7993998692,181.8436542556
49002,11.999930066,4.9333333333,74,,-27.9111999999,177.8217851449,179.9989509901
49017,11.3729263912,4.8,72,,-42.8120000002,165.1345208107,170.5938958679
49032,11.2164744536,5,75,,-59.2695999997,157.4617630696,168.2471168047
49047,12.1757018973,5,75,,-74.5039999999,166.7479842144,182.6355284591
49062,10.695621734,4.8,72,,-58.1576000001,149.522127207,160.43432601
49077,9.5611157577,4.7333333333,71,,-51.8192000003,133.7278235112,143.4167363654
49092,8.769793123,4.4,66,,-63.0503999996,115.4522980688,131.5468968447
49107,7.6813393423,4.3333333333,65,,-43.2567999998,106.7919398854,115.220090135
49122,7.852818896,4.2,63,,-45.2584000003,108.7506288133,117.7922834394
49137,7.1827269474,4.2666666667,64,,-33.2487999998,102.4822898788,107.7409042111
49152,7.3505458758,3.8666666667,58,,-21.5728000001,108.1271582514,110.2581881375
49167,8.7287644898,4.0666666667,61,,-48.4832000001,121.6241277851,130.9314673474
49182,10.5497735232,3.9333333333,59,,-68.1656000001,142.8125984969,158.2466028476
49197,10.5431295504,4.0666666667,61,,-71.6128000001,141.0037678123,158.1469432557
49212,9.2577910986,4.6666666667,70,,-76.5055999996,115.8917588711,138.8668664784
49227,8.2416265422,4.9333333333,74,,-73.8368,99.1519983629,123.6243981325
49272,5.3015436339,5.7555555556,259,,-32.0256000005,236.4101306436,238.5694635244
49287,7.5432941509,5.7333333333,86,,60.6040000003,95.5507440035,113.1494122639
49302,10.1184337129,5.9333333333,89,,57.6016,140.4213778518,151.776505693
49317,12.1639302748,6.2,93,,66.4976000004,169.909797049,182.4589541214
49332,11.6960304914,6.3333333333,95,,56.8231999995,165.9833667097,175.4404573708
49347,13.1302212605,6.1333333333,92,,44.0352000002,191.9674737805,196.9533189077
49362,12.2928885198,6.2666666667,94,,28.0224000004,182.2515965198,184.3933277963
49377,12.1665091244,5.7333333333,86,,-1.4456000003,182.4919113335,182.4976368656
49392,13.07865821,5.4,81,,14.5671999996,195.6382869313,196.1798731502
49407,13.4053160209,4.8666666667,73,,12.5656000007,200.6867401229,201.0797403135
49422,12.7454880959,4.6666666667,70,,17.7919999993,190.3526326765,191.1823214391
49437,12.2027426923,4.4,66,,23.3520000003,181.5454300423,183.0411403845
49452,12.7157563719,4.4,66,,33.4712,187.7765488428,190.7363455788
49467,13.2829062846,4.3333333333,65,,28.0224000004,197.263161678,199.2435942684
49482,14.0053668465,4.4666666667,67,,18.6815999995,209.2482148913,210.0805026977
49497,13.7714142397,4.9333333333,74,,22.4624000002,205.3463096149,206.5712135953
49512,12.2525466817,5.3333333333,80,,-3.0024000003,183.7636746921,183.7882002255
49527,13.5155140731,5.4666666667,82,,-36.6959999998,199.3839405074,202.7327110958
49542,13.2617599704,5.7333333333,86,,-62.272,188.9283209486,198.9263995564
49557,12.9868707585,6.0666666667,91,,-75.8383999997,179.4345836436,194.8030613771
49587,11.7267168191,6.1,183,,-136.3312000003,324.3117366444,351.8015045716
49602,10.4512199968,6.0666666667,91,,-44.9247999996,150.1934160169,156.768299952
49617,9.9390368917,5.8,87,,-20.7944000004,147.6282329157,149.0855533752
49632,10.7710802055,6.0666666667,91,,0.4448000005,161.5655908027,161.5662030825
49647,12.3250191345,5.8,87,,-4.2256000004,184.8269895185,184.8752870175
49662,14.7820975673,5.4666666667,82,,13.4552,221.3228399934,221.7314635088
49677,14.8013919859,5.4,81,,-15.3456,221.4899176551,222.0208797889
49692,14.2034758031,5,75,,-55.9336000002,205.5788060362,213.0521370469
49707,16.2590391179,5.0666666667,76,,-63.7175999995,235.4150523728,243.8855867685
49722,17.2460839409,4.7333333333,71,,-46.8152000003,254.4199374869,258.6912591139
49737,19.275691876,4.6,69,,-45.9256000002,285.4647196354,289.1353781396
