time,latitude,longitude,altitude
160829-04:18:47,51.458700,-2.572600,302
160829-04:19:48,51.455700,-2.572200,364
160829-04:20:49,51.452200,-2.572000,430
160829-04:21:50,51.448600,-2.572700,495
160829-04:22:51,51.445300,-2.573400,555
160829-04:23:52,51.442200,-2.573900,601
160829-04:24:53,51.439300,-2.574100,639
160829-04:25:54,51.436500,-2.573900,678
160829-04:26:55,51.433800,-2.573500,724
160829-04:28:57,51.428800,-2.571400,830
160829-04:29:58,51.426500,-2.569500,885
160829-04:30:59,51.424300,-2.567200,934
160829-04:32:00,51.422300,-2.564700,969
160829-04:33:01,51.419900,-2.562400,990
160829-04:34:02,51.417200,-2.560400,1006
160829-04:35:03,51.414500,-2.558900,1025
160829-04:36:04,51.411500,-2.557400,1047
160829-04:37:05,51.408100,-2.555700,1074
160829-04:38:06,51.404400,-2.553900,1110
160829-04:39:07,51.400600,-2.551700,1152
160829-04:40:08,51.396600,-2.549400,1204
160829-04:41:09,51.393100,-2.547400,1261
160829-04:42:10,51.389900,-2.545600,1313
160829-04:43:11,51.387100,-2.543700,1362
160829-04:44:12,51.384400,-2.541700,1412
160829-04:45:13,51.381500,-2.539700,1467
160829-04:46:14,51.378400,-2.537600,1528
160829-04:47:15,51.375100,-2.534900,1586
160829-04:48:16,51.371700,-2.531900,1642
160829-04:49:17,51.368500,-2.528700,1700
160829-04:50:18,51.365200,-2.525100,1748
160829-04:51:19,51.361900,-2.521500,1797
160829-04:52:20,51.358400,-2.517600,1833
160829-04:53:21,51.355000,-2.513600,1872
160829-04:54:22,51.351700,-2.509300,1918
160829-04:55:23,51.348300,-2.504800,1974
160829-04:56:24,51.345000,-2.499800,2012
160829-04:57:25,51.342000,-2.494800,2026
160829-04:58:26,51.339100,-2.490100,2040
160829-04:59:27,51.336000,-2.485400,2071
160829-05:00:28,51.332900,-2.481100,2095
160829-05:01:29,51.329700,-2.476700,2152
160829-05:02:30,51.326800,-2.471700,2231
160829-05:03:31,51.323900,-2.467400,2317
160829-05:04:32,51.321000,-2.463200,2391
160829-05:05:33,51.318200,-2.458900,2426
160829-05:06:34,51.314900,-2.453400,2450
160829-05:07:35,51.311900,-2.449200,2470
160829-05:08:36,51.309000,-2.445500,2506
160829-05:09:37,51.305900,-2.441700,2555
160829-05:10:38,51.303000,-2.437200,2607
160829-05:11:39,51.300200,-2.432400,2656
160829-05:12:40,51.297700,-2.427600,2696
160829-05:13:41,51.295400,-2.422800,2732
160829-05:14:42,51.293400,-2.417700,2768
160829-05:15:43,51.291500,-2.412500,2812
160829-05:16:44,51.290000,-2.407100,2862
160829-05:17:45,51.288600,-2.401500,2916
160829-05:18:46,51.287300,-2.396000,2971
160829-05:19:47,51.286400,-2.390700,3027
160829-05:20:48,51.285500,-2.385600,3084
160829-05:21:49,51.284600,-2.380300,3138
160829-05:22:50,51.283800,-2.374900,3193
160829-05:23:51,51.283000,-2.369300,3244
160829-05:24:52,51.282200,-2.363700,3292
160829-05:25:53,51.281800,-2.358000,3338
160829-05:26:54,51.281300,-2.352000,3380
160829-05:27:55,51.280700,-2.345600,3422
160829-05:28:56,51.280000,-2.339100,3472
160829-05:29:57,51.279400,-2.332500,3531
160829-05:30:58,51.278800,-2.325200,3594
160829-05:31:59,51.277500,-2.317600,3651
160829-05:33:00,51.275800,-2.310700,3694
160829-05:34:01,51.274100,-2.303500,3727
160829-05:35:02,51.272500,-2.295400,3755
160829-05:36:03,51.271100,-2.287400,3784
