time,latitude,longitude,altitude
000000-00:00:30,51.247240,-2.718800,5049
000000-00:00:30,51.248630,-2.705500,4907
000000-00:00:30,51.253710,-2.675230,5144
000000-00:00:30,51.210460,-2.458630,5399
000000-00:00:30,51.201690,-2.412530,4190
151011-16:05:30,51.455250,-2.629890,208
151011-16:08:30,51.447040,-2.642140,326
151011-16:09:30,51.444430,-2.645920,346
151011-16:10:30,51.441780,-2.649390,352
151011-16:11:30,51.439340,-2.653830,420
151011-16:14:30,51.432790,-2.667460,523
151011-16:16:30,51.427890,-2.676220,590
151011-16:18:30,51.423340,-2.685610,654
151011-16:20:30,51.418700,-2.695560,730
151011-16:21:30,51.416330,-2.700680,766
151011-16:26:30,51.405330,-2.728080,809
151011-16:27:30,51.403350,-2.733790,838
151011-16:28:30,51.401290,-2.739620,886
151011-16:30:30,51.397930,-2.752320,938
151011-16:31:30,51.396540,-2.758600,965
151011-16:32:30,51.395280,-2.763900,984
151011-16:33:30,51.394020,-2.768950,1003
151011-16:35:30,51.391100,-2.777890,1047
151011-16:36:30,51.389390,-2.781780,1090
151011-16:37:30,51.387680,-2.785380,1120
151011-16:38:30,51.385900,-2.788910,1153
151011-16:39:30,51.384210,-2.792510,1187
151011-16:40:30,51.382610,-2.796410,1224
151011-16:41:30,51.381130,-2.800270,1269
151011-16:42:30,51.379700,-2.804210,1275
151011-16:43:30,51.378330,-2.807560,1343
151011-16:44:30,51.377220,-2.811100,1338
151011-16:45:30,51.376150,-2.814460,1359
151011-16:46:30,51.374930,-2.817710,1370
151011-16:47:30,51.373760,-2.821150,1413
151011-16:48:30,51.372540,-2.824670,1437
151011-16:49:30,51.371400,-2.828210,1488
151011-16:50:30,51.370270,-2.831670,1515
151011-16:51:30,51.369010,-2.834720,1558
151011-16:52:30,51.367810,-2.837610,1598
151011-16:53:30,51.366570,-2.840370,1633
151011-16:55:30,51.364050,-2.845520,1715
151011-16:56:30,51.362720,-2.847660,1738
151011-16:57:30,51.361460,-2.849290,1760
151011-16:58:30,51.360180,-2.850630,1787
151011-16:59:30,51.358810,-2.851970,1805
151011-17:00:30,51.357390,-2.853360,1827
151011-17:01:30,51.355960,-2.854750,1851
151011-17:02:30,51.354390,-2.856020,1880
151011-17:03:30,51.352900,-2.857420,1915
151011-17:04:30,51.351490,-2.858700,1952
151011-17:05:30,51.350040,-2.859540,1999
151011-17:06:30,51.348480,-2.860110,2030
151011-17:07:30,51.346970,-2.860130,2063
151011-17:08:30,51.345480,-2.859890,2099
151011-17:09:30,51.343890,-2.859650,2139
151011-17:10:30,51.342080,-2.859140,2180
151011-17:11:30,51.340070,-2.858310,2214
151011-17:12:30,51.337730,-2.857360,2242
151011-17:13:30,51.335240,-2.856740,2263
151011-17:14:30,51.332830,-2.856060,2289
151011-17:15:30,51.330540,-2.855130,2321
151011-17:16:30,51.328430,-2.854270,2346
151011-17:17:30,51.326610,-2.853070,2391
151011-17:18:30,51.324620,-2.851830,2419
151011-17:19:30,51.322490,-2.850780,2465
151011-17:20:30,51.320180,-2.850050,2495
151011-17:21:30,51.317960,-2.849430,2526
151011-17:22:30,51.315660,-2.849040,2549
151011-17:23:30,51.313490,-2.848790,2575
151011-17:24:30,51.311420,-2.848860,2600
151011-17:25:30,51.309310,-2.849050,2626
151011-17:26:30,51.307180,-2.849150,2651
151011-17:27:30,51.305070,-2.849430,2682
151011-17:28:30,51.303020,-2.849960,2718
151011-17:29:30,51.301500,-2.850740,2741
151011-17:30:30,51.300220,-2.851620,2773
151011-17:31:30,51.299060,-2.852170,2810
151011-17:32:30,51.298160,-2.851790,2835
151011-17:33:30,51.297430,-2.850810,2869
151011-17:34:30,51.296800,-2.849590,2901
151011-17:35:30,51.295930,-2.848140,2931
151011-17:36:30,51.294970,-2.846760,2958
151011-17:37:30,51.293830,-2.845680,2989
151011-17:38:30,51.292410,-2.844830,3026
151011-17:39:30,51.290820,-2.844130,3058
151011-17:40:30,51.288690,-2.843300,3099
151011-17:41:30,51.286620,-2.842510,3138
151011-17:42:30,51.284350,-2.841530,3175
151011-17:43:30,51.282050,-2.840650,3213
151011-17:44:30,51.279800,-2.840050,3236
151011-17:45:30,51.277780,-2.839600,3280
151011-17:46:30,51.276020,-2.839100,3312
151011-17:47:30,51.274450,-2.839260,3342
151011-17:48:30,51.273010,-2.839780,3371
151011-17:49:30,51.271690,-2.840360,3390
151011-17:50:30,51.270240,-2.840530,3414
151011-17:51:30,51.268630,-2.840410,3452
151011-17:52:30,51.267080,-2.839980,3476
151011-17:53:30,51.265480,-2.839400,3520
151011-17:54:30,51.263960,-2.838710,3555
151011-17:55:30,51.262510,-2.838030,3602
151011-17:56:30,51.260950,-2.837540,3636
151011-17:57:30,51.259220,-2.837150,3671
151011-17:58:30,51.257420,-2.836470,3707
151011-17:59:30,51.255660,-2.835810,3727
151011-18:00:30,51.253980,-2.835110,3766
151011-18:01:30,51.252440,-2.834390,3794
151011-18:02:30,51.251010,-2.833700,3821
151011-18:03:30,51.249620,-2.832850,3856
151011-18:04:30,51.248440,-2.832130,3894
151011-18:05:30,51.247550,-2.831430,3926
151011-18:06:30,51.246960,-2.830740,3961
151011-18:07:30,51.246660,-2.830080,3999
151011-18:08:30,51.246380,-2.829210,4035
151011-18:09:30,51.246260,-2.827970,4064
151011-18:10:30,51.246000,-2.826700,4094
151011-18:11:30,51.245710,-2.825370,4132
151011-18:12:30,51.245420,-2.824190,4176
151011-18:13:30,51.245020,-2.823260,4214
151011-18:14:30,51.244430,-2.822640,4252
151011-18:15:30,51.243700,-2.822350,4280
151011-18:16:30,51.242830,-2.822380,4297
151011-18:17:30,51.242230,-2.821810,4326
151011-18:18:30,51.241780,-2.820820,4360
151011-18:19:30,51.241520,-2.819280,4411
151011-18:20:30,51.241640,-2.817640,4465
151011-18:21:30,51.241760,-2.815690,4511
151011-18:22:30,51.241720,-2.813830,4562
