time,latitude,longitude,altitude
000000-08:08:50,51.465370,-2.576940,211
000000-08:09:50,51.464280,-2.574490,252
000000-08:10:50,51.463210,-2.572100,335
000000-08:11:50,51.461680,-2.569740,478
000000-08:12:50,51.459720,-2.569400,554
000000-08:13:50,51.457660,-2.569510,658
000000-08:14:50,51.455790,-2.569260,748
000000-08:15:50,51.453310,-2.569720,813
000000-08:17:50,51.448030,-2.570780,915
000000-08:19:50,51.441990,-2.570340,1014
000000-08:20:49,51.439150,-2.567450,1106
000000-08:24:49,51.422110,-2.551140,1326
000000-08:25:49,51.417700,-2.546280,1402
000000-08:26:49,51.413860,-2.540050,1459
000000-08:28:49,51.407210,-2.524260,1517
000000-08:29:49,51.403720,-2.516550,1557
000000-08:30:49,51.399740,-2.509050,1610
000000-08:31:49,51.395980,-2.502220,1662
000000-08:32:49,51.392310,-2.495550,1724
000000-08:33:49,51.387800,-2.488830,1794
000000-08:34:20,51.385070,-2.485410,1826
000000-08:34:49,51.382340,-2.482280,1846
000000-08:35:49,51.376520,-2.475850,1879
000000-08:38:49,51.362010,-2.456880,2004
000000-08:39:20,51.359630,-2.453880,2041
000000-08:39:49,51.357370,-2.451130,2072
000000-08:40:49,51.352800,-2.445280,2166
000000-08:41:20,51.350470,-2.442250,2211
000000-08:41:49,51.348270,-2.439410,2240
000000-08:42:20,51.346010,-2.436360,2261
000000-08:42:49,51.343960,-2.433520,2289
000000-08:43:20,51.341930,-2.430360,2315
000000-08:43:49,51.340080,-2.427260,2340
000000-08:44:20,51.338060,-2.423810,2356
000000-08:44:49,51.336270,-2.420560,2375
000000-08:45:20,51.334280,-2.416910,2390
000000-08:45:49,51.332480,-2.413310,2418
000000-08:46:20,51.330540,-2.409370,2440
000000-08:46:49,51.328650,-2.405690,2476
000000-08:47:20,51.326500,-2.401760,2513
000000-08:47:49,51.324440,-2.397850,2554
000000-08:48:20,51.322160,-2.393810,2600
000000-08:48:49,51.319960,-2.390000,2639
000000-08:49:20,51.317550,-2.385820,2683
000000-08:49:49,51.315200,-2.381980,2732
000000-08:50:20,51.312770,-2.377890,2768
000000-08:50:49,51.310480,-2.374140,2808
000000-08:51:20,51.308030,-2.370080,2856
000000-08:51:49,51.305720,-2.366330,2888
000000-08:52:20,51.303090,-2.362110,2924
000000-08:52:49,51.300480,-2.358000,2963
000000-08:53:20,51.297770,-2.353660,2993
000000-08:53:49,51.295140,-2.349810,3015
000000-08:54:20,51.292270,-2.345820,3051
000000-08:54:49,51.289540,-2.341900,3070
000000-08:55:20,51.286630,-2.337540,3094
000000-08:55:49,51.283960,-2.333550,3120
000000-08:56:20,51.280980,-2.329330,3145
000000-08:56:49,51.278120,-2.325240,3173
000000-08:57:20,51.275110,-2.320680,3196
000000-08:57:49,51.272390,-2.316440,3220
000000-08:58:20,51.269620,-2.311960,3247
000000-08:58:49,51.267100,-2.307860,3273
000000-08:59:20,51.264440,-2.303290,3304
000000-08:59:49,51.261850,-2.298860,3339
000000-09:00:20,51.259070,-2.294040,3384
000000-09:00:49,51.256480,-2.289490,3424
000000-09:01:20,51.253630,-2.284620,3464
000000-09:01:49,51.251150,-2.280110,3506
000000-09:02:20,51.248410,-2.275260,3529
000000-09:02:49,51.245970,-2.270690,3559
000000-09:03:20,51.243420,-2.265890,3578
000000-09:03:49,51.240910,-2.261360,3595
000000-09:04:20,51.238390,-2.256540,3608
000000-09:04:49,51.235960,-2.251990,3619
000000-09:05:20,51.233420,-2.247180,3631
000000-09:05:49,51.231060,-2.242620,3650
000000-09:06:20,51.228560,-2.237760,3670
000000-09:06:49,51.226360,-2.233190,3694
000000-09:07:20,51.223970,-2.228350,3713
000000-09:07:49,51.221700,-2.223740,3747
000000-09:08:20,51.219210,-2.218790,3784
000000-09:08:49,51.216900,-2.214210,3843
000000-09:09:20,51.214340,-2.209320,3878
000000-09:09:49,51.212060,-2.204610,3921
000000-09:10:20,51.209810,-2.199420,3972
000000-09:10:49,51.207870,-2.194340,4014
