time,latitude,longitude,altitude
000000-15:27:05,51.966060,-0.791050,227
000000-15:27:17,51.965610,-0.790323,257
000000-15:27:42,51.964648,-0.788734,294
000000-15:27:42,51.964648,-0.788734,294
000000-15:28:07,51.963723,-0.787056,332
000000-15:28:07,51.963723,-0.787056,332
000000-15:28:20,51.963246,-0.786188,348
000000-15:28:33,51.962762,-0.785296,367
000000-15:28:45,51.962351,-0.784580,386
000000-15:28:58,51.961341,-0.782947,409
000000-15:29:35,51.960437,-0.781264,446
000000-15:29:48,51.959950,-0.780390,458
000000-15:30:01,51.959486,-0.779512,474
000000-15:30:13,51.959091,-0.778664,489
000000-15:30:26,51.958200,-0.776853,521
000000-15:30:38,51.958200,-0.776853,521
000000-15:31:03,51.957281,-0.775016,549
000000-15:31:16,51.956791,-0.774085,559
000000-15:31:29,51.956316,-0.773188,571
000000-15:31:41,51.955908,-0.772321,581
000000-15:31:54,51.955113,-0.770498,605
000000-15:32:06,51.955113,-0.770498,605
000000-15:32:19,51.954681,-0.769516,622
000000-15:32:32,51.954248,-0.768531,633
000000-15:32:45,51.953490,-0.766658,665
000000-15:32:58,51.953490,-0.766658,665
000000-15:33:10,51.953066,-0.765696,679
000000-15:33:23,51.952644,-0.764738,689
000000-15:34:13,51.950924,-0.760952,729
000000-15:34:26,51.950469,-0.759995,739
000000-15:34:39,51.950025,-0.758987,753
000000-15:35:04,51.949147,-0.756961,779
000000-15:35:04,51.949147,-0.756961,779
000000-15:35:17,51.948670,-0.755919,791
000000-15:35:30,51.948203,-0.754914,806
000000-15:35:43,51.947747,-0.753859,823
000000-15:36:08,51.946833,-0.751835,857
000000-15:36:08,51.946833,-0.751835,857
000000-15:36:21,51.946302,-0.750764,872
000000-15:36:34,51.945759,-0.749639,883
000000-15:36:47,51.945247,-0.748516,897
000000-15:37:12,51.944269,-0.746448,925
000000-15:37:12,51.944269,-0.746448,925
000000-15:37:25,51.943720,-0.745317,943
000000-15:37:38,51.943185,-0.744143,957
000000-15:37:51,51.942251,-0.741827,982
000000-15:38:04,51.941767,-0.740558,993
000000-15:38:16,51.941767,-0.740558,993
000000-15:38:29,51.941264,-0.739315,1005
000000-15:38:42,51.940772,-0.738059,1021
000000-15:38:55,51.940288,-0.736781,1035
000000-15:39:08,51.939777,-0.735527,1058
000000-15:39:21,51.939228,-0.734314,1075
000000-15:39:34,51.938717,-0.733174,1090
000000-15:39:47,51.938209,-0.732027,1101
000000-15:40:00,51.937748,-0.730870,1117
000000-15:40:13,51.937304,-0.729688,1132
000000-15:40:26,51.936833,-0.728483,1143
000000-15:40:39,51.936368,-0.727234,1152
000000-15:40:52,51.935861,-0.726028,1163
000000-15:41:05,51.935395,-0.724876,1169
000000-15:41:18,51.934914,-0.723699,1177
000000-15:41:31,51.934417,-0.722584,1185
000000-15:41:44,51.933915,-0.721438,1195
000000-15:41:57,51.933463,-0.720296,1200
000000-15:42:10,51.933038,-0.719173,1203
000000-15:42:23,51.932577,-0.718057,1209
000000-15:42:36,51.932116,-0.716940,1215
000000-15:42:49,51.931685,-0.715857,1225
000000-15:43:02,51.931210,-0.714713,1231
000000-15:43:15,51.930658,-0.713542,1243
000000-15:43:28,51.930090,-0.712391,1257
000000-15:43:41,51.929508,-0.711231,1271
000000-15:43:54,51.928925,-0.710056,1287
000000-15:44:07,51.928373,-0.708903,1303
000000-15:44:20,51.927793,-0.707751,1318
000000-15:44:33,51.927224,-0.706596,1334
000000-15:44:46,51.926665,-0.705412,1348
000000-15:44:59,51.926085,-0.704200,1365
000000-15:45:12,51.925480,-0.702966,1384
000000-15:45:25,51.924883,-0.701759,1403
000000-15:45:38,51.924256,-0.700533,1419
000000-15:45:51,51.923012,-0.697947,1456
000000-15:46:04,51.922404,-0.696663,1474
000000-15:46:30,51.921820,-0.695434,1495
000000-15:46:43,51.921245,-0.694159,1513
000000-15:46:56,51.920654,-0.692927,1535
000000-15:47:09,51.920084,-0.691674,1551
000000-15:47:22,51.919483,-0.690522,1568
000000-15:47:35,51.918954,-0.689377,1596
000000-15:47:48,51.918428,-0.688205,1614
000000-15:48:01,51.917937,-0.686999,1628
000000-15:48:14,51.917468,-0.685780,1639
000000-15:48:27,51.916962,-0.684562,1652
000000-15:48:40,51.916452,-0.683334,1669
000000-15:48:40,51.915963,-0.682107,1682
000000-15:48:54,51.915453,-0.680901,1698
000000-15:49:07,51.915453,-0.680901,1698
000000-15:49:20,51.914931,-0.679662,1722
000000-15:49:33,51.914482,-0.678512,1743
000000-15:49:46,51.914038,-0.677388,1763
000000-15:49:59,51.913611,-0.676285,1783
000000-15:50:12,51.913139,-0.675213,1798
000000-15:50:25,51.912681,-0.674130,1816
000000-15:50:38,51.912225,-0.673054,1833
000000-15:50:51,51.911773,-0.672021,1851
000000-15:51:04,51.911312,-0.671041,1868
000000-15:51:17,51.910931,-0.670141,1885
000000-15:51:30,51.910564,-0.669227,1902
000000-15:51:43,51.910203,-0.668323,1922
000000-15:51:56,51.909829,-0.667404,1938
000000-15:52:09,51.909450,-0.666492,1955
000000-15:52:22,51.909057,-0.665531,1971
000000-15:52:35,51.908639,-0.664537,1986
000000-15:52:48,51.908220,-0.663516,1998
000000-15:53:13,51.907279,-0.661684,2021
000000-15:53:13,51.907279,-0.661684,2021
000000-15:53:26,51.906715,-0.660797,2030
000000-15:53:39,51.906120,-0.659923,2043
000000-15:53:52,51.905362,-0.658920,2056
000000-15:54:17,51.903882,-0.656838,2077
000000-15:54:30,51.903108,-0.655783,2090
000000-15:54:43,51.902248,-0.654694,2100
000000-15:54:56,51.901277,-0.653627,2109
000000-15:55:21,51.899108,-0.651721,2140
000000-15:55:21,51.899108,-0.651721,2140
000000-15:55:34,51.897908,-0.650699,2152
000000-15:55:47,51.896686,-0.649597,2171
000000-15:56:00,51.894208,-0.647380,2211
000000-15:56:13,51.892836,-0.646244,2232
000000-15:56:25,51.892836,-0.646244,2232
000000-15:56:38,51.891390,-0.645128,2256
000000-15:56:51,51.889939,-0.643936,2280
000000-15:57:16,51.886982,-0.641687,2321
000000-15:57:16,51.886982,-0.641687,2321
000000-15:57:29,51.885398,-0.640616,2350
000000-15:57:42,51.883849,-0.639522,2374
000000-15:57:55,51.882292,-0.638460,2399
000000-15:58:20,51.879251,-0.636226,2445
000000-15:58:20,51.879251,-0.636226,2445
000000-15:58:33,51.877675,-0.634988,2467
000000-15:58:46,51.876069,-0.633815,2487
000000-15:58:59,51.874409,-0.632664,2508
000000-15:59:24,51.871076,-0.630284,2544
000000-15:59:24,51.871076,-0.630284,2544
000000-15:59:37,51.869331,-0.629012,2559
000000-15:59:50,51.867578,-0.627698,2575
000000-16:00:03,51.865833,-0.626386,2590
000000-16:00:28,51.862350,-0.623707,2621
000000-16:00:41,51.860438,-0.622217,2632
000000-16:00:54,51.858499,-0.620752,2647
000000-16:01:07,51.856493,-0.619284,2659
000000-16:01:32,51.852502,-0.616446,2684
000000-16:01:32,51.852502,-0.616446,2684
000000-16:01:45,51.850423,-0.614975,2696
000000-16:01:58,51.848374,-0.613386,2707
000000-16:02:11,51.844414,-0.610064,2733
000000-16:02:24,51.842331,-0.608230,2743
000000-16:02:36,51.842331,-0.608230,2743
000000-16:02:49,51.840302,-0.606362,2756
000000-16:03:02,51.838291,-0.604524,2771
000000-16:03:27,51.834495,-0.600946,2801
000000-16:03:27,51.834495,-0.600946,2801
000000-16:03:40,51.832531,-0.599044,2818
000000-16:03:53,51.830573,-0.597116,2834
000000-16:04:06,51.828637,-0.595191,2858
000000-16:04:31,51.824833,-0.591324,2893
000000-16:04:44,51.822842,-0.589230,2913
000000-16:04:57,51.820849,-0.587160,2935
000000-16:05:10,51.818867,-0.585117,2956
000000-16:05:35,51.815037,-0.581017,2999
000000-16:05:35,51.815037,-0.581017,2999
000000-16:05:48,51.812984,-0.578990,3018
000000-16:06:01,51.810986,-0.576963,3040
000000-16:06:14,51.808999,-0.574964,3063
000000-16:06:39,51.805187,-0.571156,3103
000000-16:06:39,51.805187,-0.571156,3103
000000-16:06:52,51.803187,-0.569232,3119
000000-16:07:05,51.801258,-0.567292,3144
000000-16:07:18,51.799263,-0.565361,3165
000000-16:07:43,51.795323,-0.561599,3195
000000-16:07:43,51.795323,-0.561599,3195
000000-16:07:56,51.793234,-0.559639,3214
000000-16:08:09,51.791149,-0.557666,3233
000000-16:08:22,51.787081,-0.553837,3260
000000-16:08:35,51.784955,-0.551860,3275
000000-16:08:47,51.784955,-0.551860,3275
000000-16:09:00,51.782768,-0.549919,3291
000000-16:09:13,51.780602,-0.548018,3307
000000-16:09:26,51.776471,-0.544364,3342
000000-16:09:39,51.776471,-0.544364,3342
000000-16:09:51,51.774321,-0.542471,3356
000000-16:10:04,51.772191,-0.540531,3371
000000-16:10:17,51.770055,-0.538595,3389
000000-16:10:30,51.765989,-0.534802,3430
000000-16:10:43,51.765989,-0.534802,3430
000000-16:10:55,51.763874,-0.532817,3447
000000-16:11:08,51.761766,-0.530812,3469
000000-16:11:21,51.759625,-0.528876,3487
000000-16:11:46,51.755469,-0.525080,3526
000000-16:11:46,51.755469,-0.525080,3526
000000-16:11:59,51.753298,-0.523075,3545
000000-16:12:12,51.751119,-0.521091,3564
000000-16:12:25,51.748929,-0.519080,3583
000000-16:12:50,51.744692,-0.515219,3621
000000-16:12:50,51.744692,-0.515219,3621
000000-16:13:03,51.742484,-0.513182,3640
000000-16:13:16,51.740232,-0.511184,3660
000000-16:13:29,51.737971,-0.509193,3680
000000-16:13:42,51.733521,-0.505458,3716
000000-16:13:55,51.731205,-0.503514,3735
000000-16:14:07,51.731205,-0.503514,3735
000000-16:14:20,51.728886,-0.501520,3755
000000-16:14:33,51.726604,-0.499435,3778
000000-16:14:46,51.722182,-0.495502,3816
000000-16:14:59,51.719864,-0.493438,3834
000000-16:15:11,51.719864,-0.493438,3834
000000-16:15:24,51.717488,-0.491424,3850
000000-16:15:37,51.715126,-0.489380,3868
000000-16:15:50,51.712758,-0.487341,3883
000000-16:16:15,51.708219,-0.483274,3918
000000-16:16:15,51.708219,-0.483274,3918
000000-16:16:28,51.705898,-0.481069,3937
000000-16:16:41,51.703559,-0.478834,3957
000000-16:16:54,51.701181,-0.476461,3977
000000-16:17:19,51.696544,-0.471908,4020
000000-16:17:19,51.696544,-0.471908,4020
000000-16:17:32,51.694093,-0.469600,4038
000000-16:17:45,51.691617,-0.467351,4061
000000-16:17:58,51.689134,-0.465110,4082
000000-16:18:23,51.684217,-0.460831,4129
000000-16:18:23,51.684217,-0.460831,4129
000000-16:18:36,51.681588,-0.458591,4150
000000-16:18:49,51.678921,-0.456382,4172
000000-16:19:02,51.676212,-0.454101,4194
000000-16:19:27,51.670849,-0.449732,4228
000000-16:19:27,51.670849,-0.449732,4228
000000-16:19:40,51.668061,-0.447483,4251
000000-16:19:53,51.665262,-0.445195,4270
000000-16:20:06,51.662466,-0.442899,4289
000000-16:20:31,51.657088,-0.438358,4323
000000-16:20:31,51.657088,-0.438358,4323
000000-16:20:44,51.654298,-0.435958,4344
000000-16:20:57,51.651514,-0.433569,4364
000000-16:21:10,51.648719,-0.431156,4386
000000-16:21:35,51.643349,-0.426383,4429
000000-16:21:35,51.643349,-0.426383,4429
000000-16:21:48,51.640561,-0.423901,4450
000000-16:22:01,51.637775,-0.421393,4471
000000-16:22:14,51.634991,-0.418872,4491
000000-16:22:39,51.629679,-0.414027,4534
000000-16:22:39,51.629679,-0.414027,4534
000000-16:22:52,51.626894,-0.411488,4553
000000-16:23:05,51.624132,-0.408956,4570
000000-16:23:18,51.621360,-0.406452,4590
000000-16:23:31,51.616076,-0.401444,4631
000000-16:23:44,51.613330,-0.398860,4652
000000-16:23:56,51.613330,-0.398860,4652
000000-16:24:09,51.610613,-0.396258,4674
000000-16:24:22,51.607873,-0.393684,4694
000000-16:24:35,51.605120,-0.391107,4713
000000-16:24:48,51.602368,-0.388544,4732
000000-16:25:01,51.599624,-0.385929,4752
000000-16:25:14,51.596895,-0.383259,4771
000000-16:25:27,51.594144,-0.380518,4792
000000-16:25:40,51.591389,-0.377810,4812
000000-16:25:53,51.588612,-0.375111,4833
000000-16:26:06,51.585839,-0.372383,4857
000000-16:26:19,51.583040,-0.369588,4879
000000-16:26:32,51.580224,-0.366758,4901
000000-16:26:45,51.577397,-0.363916,4923
000000-16:27:11,51.571683,-0.358308,4971
000000-16:27:24,51.568791,-0.355593,4996
000000-16:27:37,51.565892,-0.352910,5020
000000-16:27:50,51.562949,-0.350231,5044
000000-16:28:03,51.559963,-0.347579,5069
000000-16:28:03,51.557007,-0.344937,5093
000000-16:28:17,51.557007,-0.344937,5093
000000-16:28:30,51.553839,-0.342087,5119
000000-16:28:43,51.550923,-0.339450,5142
000000-16:28:56,51.548035,-0.336802,5163
000000-16:29:09,51.545103,-0.334117,5186
000000-16:29:22,51.542116,-0.331462,5208
