time,ground_speed,alt_speed
170701-07:19:22,0.0229870836069,0.0165289256198
170701-07:21:23,0.0230528352351,0.223140495868
170701-07:23:24,0.0231489982388,-0.157024793388
170701-07:25:00,0.0292167263563,-0.135416666667
170701-07:25:25,2.24331520882e-05,0.52
170701-07:27:37,0.0229515463088,0.0984848484848
170701-07:29:38,0.0227608376635,-0.0909090909091
170701-07:31:39,0.0224983948526,-0.0661157024793
170701-07:33:40,0.0224173116658,0.231404958678
170701-07:35:40,0.0225686544478,-0.0916666666667
170701-07:37:42,0.022536545097,-0.0655737704918
170701-07:39:00,0.0351695710498,-0.205128205128
170701-07:39:42,1.03816325985e-05,0.333333333333
170701-07:42:20,0.022963782866,0.120253164557
170701-07:44:22,0.0231686908165,-0.254098360656
170701-07:46:23,0.0231534622309,0.198347107438
170701-07:48:23,0.023257422946,0.05
170701-07:50:25,0.0230884583021,-0.0409836065574
170701-07:52:00,0.0288516124115,-0.0210526315789
170701-07:52:26,3.64435820844e-05,0.884615384615
170701-07:54:26,0.0224932808938,-0.3
170701-07:56:28,0.0224671441,0.131147540984
170701-07:58:28,0.0227356954711,0.0416666666667
170701-08:00:30,0.0227857486433,-0.139344262295
170701-08:02:31,0.0229122473834,0.198347107438
170701-08:04:38,0.0229620980411,-0.204724409449
170701-08:06:39,0.0230913147271,0.355371900826
170701-08:08:39,0.0231928502084,-0.275
170701-08:10:40,0.0230952094157,0.165289256198
170701-08:14:32,0.0230425307412,-0.0431034482759
170701-08:16:32,0.0232147535674,-0.025
170701-08:19:18,0.0232995629012,0.0120481927711
170701-08:21:19,0.0229992913239,0.0743801652893
170701-08:25:09,0.0226700391527,-0.0782608695652
170701-08:27:09,0.0228596654056,0.233333333333
170701-08:31:06,0.0230675752704,-0.0337552742616
170701-08:33:07,0.0233693297065,-0.0413223140496
170701-08:35:08,0.0234893777815,-0.107438016529
170701-08:37:48,0.023363124773,-0.05625
170701-08:39:48,0.0232337185179,0.141666666667
170701-08:41:49,0.0229589971663,-0.0743801652893
170701-08:43:50,0.0227616847418,-0.00826446280992
170701-08:48:10,0.021859936719,0.107692307692
170701-08:50:11,0.0221672396365,-0.181818181818
170701-08:54:07,0.0221652148833,0.0254237288136
170701-08:56:08,0.0219658847244,0.0247933884298
170701-09:00:26,0.0219572863267,0.0813953488372
170701-09:04:28,0.0217406004094,-0.095041322314
170701-09:06:28,0.021711342216,0.125
170701-09:08:29,0.0217529725221,-0.115702479339
170701-09:10:00,0.0289833803665,-0.142857142857
170701-09:10:30,1.04885032768e-05,0.366666666667
170701-09:12:32,0.0217508437245,0.122950819672
170701-09:16:51,0.0217775801543,-0.011583011583
170701-09:18:52,0.0218651194488,0.00826446280992
170701-09:23:11,0.0218450013984,0.015444015444
170701-09:25:12,0.0217633258485,-0.0247933884298
170701-09:27:13,0.0217385518303,-0.140495867769
170701-09:31:08,0.0213683661249,0.127659574468
170701-09:33:09,0.0213761577147,-0.107438016529
170701-09:37:11,0.0212103027391,-0.0785123966942
170701-09:41:13,0.0205302051578,0.243801652893
170701-09:43:53,0.0201543657683,-0.075
170701-10:02:00,0.0207827520852,-0.000919963201472
170701-10:04:53,0.0199973433442,-0.109826589595
170701-10:06:52,0.0216943145463,0.243697478992
